city,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,data_quality
New York,United States,25,100,10,7.2,10,5.38,2.72,2.32,1.26,4.11,8.03,3.93,16.85,17.88,20.57,5.62,2.59,4.98,6.22,4.04,3.73,2.68,2.51,17.99,3.15,3.95,15,2.75,129,4.38,1.86,30,1.29,25000,23754.86,180.61,0.1,69.77,104.82,38.85,18,2444.17,40384.62,62.13,57.42,95.29,145.62,3851.51,2347.1,7146.84,4279.34,14784.44,9531.27,5944.31,5.4,1
Istanbul,Turkey,5.37,24.15,4.29,2.68,3.22,1.98,0.9,0.32,1.03,0.5,1.67,1.81,6.32,4.18,9.08,0.86,1.72,1.09,0.89,0.61,0.53,0.64,0.31,8.05,1.68,2.27,1.72,0.43,32.31,0.54,0.38,3.76,1.31,40249.22,33094.13,68.88,0.07,8.9,26.37,12.69,3.76,243.06,5152.51,47.96,31.58,78.86,62.09,554.82,316.01,1040.98,649.93,2374.69,1191.15,383.04,23.8,1
,,,,,,,,,,New York,,Istanbul,,,Index Cost Living,,,,,,,,Rent Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index_Cost_Living,,,,,,,,,,United States,,Turkey,,,Restaurants,,,,,,,,Rent per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x1,16,400,85.92,,,,,,,25,,5.37,,,1006.94,5%,,1006.94,100%,18%,,,5802.0415,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2,3.5,350,84.525,,,,,,,100,,24.15,,,262.705,1.30%,,1006.94,18%,5%,,,857.9342,14.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x3,6,60,25.74,,,,,,,10,,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x4,5,36,13.4,,,,,,,7.2,,2.68,,,Markets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x5,5,50,16.1,,,,,,,10,,3.22,,,1911.89,50%,,2251.45,1,38%,,,Grocery Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x6,15,80.7,29.7,,,,,,,5.38,,1.98,,,538.27,14.08%,,619.97,0.275364765,10%,,,2251.45,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x7,6,16.32,5.4,,,,,,,2.72,,0.9,,,,,,,,,,,619.97,27.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x8,6,13.92,1.92,,,,,,,2.32,,0.32,,,Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x9,25,31.5,25.75,,,,,,,1.26,,1.03,,,347.8,25.00%,,107.207,28,,,,Restaurant Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x10,31,127.41,15.5,,,,,,,4.11,,0.5,,,138.365,9.95%,33.6,,5.9,,,,1006.94,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x11,14,112.42,23.38,,,,,,,8.03,,1.67,,,,,,,,,,,262.705,26.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x12,20,78.6,36.2,,,,,,,3.93,,1.81,,,Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x13,12,202.2,75.84,,,,,,,16.85,,6.32,,,250.78,20.00%,,,,,,,Cost of Living Plus Rent Index ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x14,15,268.2,62.7,,,,,,,17.88,,4.18,,,78.06,6.23%,,31.55%,100%,,,,Cost of Living ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x15,15,308.55,136.2,,,,,,,20.57,,9.08,,,,,,,,,,,0.55,31.6%,0.17353868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x16,31,174.22,26.66,,,,,,,5.62,,0.86,,,,,,,,,,,0.45,0.066540439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x17,25,64.75,43,,,,,,,2.59,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x18,30,149.4,32.7,,,,,,,4.98,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x19,22,136.84,19.58,,,,,,,6.22,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x20,24,96.96,14.64,,,,,,,4.04,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x21,10,37.3,5.3,,,,,,,3.73,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x22,18,48.24,11.52,,,,,,,2.68,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x23,30,75.3,9.3,,,,,,,2.51,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x24,4,71.96,32.2,,,,,,,17.99,,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x25,6,18.9,10.08,,,,,,,3.15,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x26,6,23.7,13.62,,,,,,,3.95,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x27,15,225,25.8,,,,,,,15,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x28,20,55,8.6,,,,,,,2.75,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x29,1.5,193.5,48.465,,,,,,,129,,32.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x30,5,21.9,2.7,,,,,,,4.38,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x31,20,37.2,7.6,,,,,,,1.86,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x32,0.7,21,2.632,,,,,,,30,,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x33,60,77.4,78.6,,,,,,,1.29,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x34,0.0035,87.5,140.87227,,,,,,,25000,,40249.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x35,0.0035,83.14201,115.829455,,,,,,,23754.86,,33094.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x36,1,180.61,68.88,,,,,,,180.61,,68.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x37,4,0.4,0.28,,,,,,,0.1,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
